FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20230105;NMIV;LIMA;LIMA;LURIGANCHO;150118;Continental;Banco;119900.00;16100.00;240.00;9.72;161000.00;20250108
20230105;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;70000.00;18190.00;180.00;8.85;114990.00;20250108
20230105;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;105900.00;50000.00;300.00;9.71;175500.00;20250108
20230105;NMIV;LIMA;LIMA;CARABAYLLO;150106;Credito;Banco;149766.00;19420.00;180.00;10.39;194186.00;20250108
20230105;NMIV;PUNO;SAN ROMAN;JULIACA;211101;Credito;Banco;138000.00;26500.00;180.00;10.09;189500.00;20250108
20230105;NMIV;LIMA;LIMA;CARABAYLLO;150106;Credito;Banco;142450.00;27950.00;300.00;9.70;190000.00;20250108
20230105;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;138530.00;18170.00;120.00;9.19;181700.00;20250108
20230105;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;159709.64;20523.29;180.00;8.99;205232.93;20250108
20230105;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;173220.00;25080.00;300.00;9.00;223300.00;20250108
20230105;NMIV;LIMA;LIMA;CARABAYLLO;150106;Credito;Banco;149881.00;19542.00;240.00;10.59;194423.00;20250108
20230105;NMIV;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;150143;CMAC Huancayo;CMAC;47000.00;20000.00;60.00;12.05;92700.00;20250108
20230105;NMIV;LIMA;LIMA;CARABAYLLO;150106;Credito;Banco;145525.00;42631.00;120.00;10.59;213156.00;20250108
20230105;NMIV;LIMA;LIMA;SAN MARTIN DE PORRES;150135;Scotiabank;Banco;178400.00;22000.00;240.00;9.60;220000.00;20250108
20230105;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;81460.00;12030.00;240.00;8.82;120290.00;20250108
20230105;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;81461.00;12029.00;240.00;9.72;120290.00;20250108
20230105;NMIV;SAN MARTIN;SAN MARTIN;TARAPOTO;220901;BANBIF;Banco;133400.00;20000.00;60.00;9.90;173000.00;20250108
20230105;FCTP;ICA;PISCO;SAN CLEMENTE;110507;Continental;Banco;36593.13;4761.87;240.00;13.00;81605.00;20250108
20230105;FCTP;ICA;PISCO;PISCO;110501;CMAC Huancayo;CMAC;45900.00;2225.00;95.00;13.99;86625.00;20250108
20230105;FCTP;PIURA;PIURA;26 DE OCTUBRE;200115;Continental;Banco;40250.00;6000.00;180.00;13.00;86500.00;20250108
20230105;FCTP;ICA;PISCO;SAN CLEMENTE;110507;Continental;Banco;30000.00;11150.00;60.00;13.00;81400.00;20250108
20230105;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;288014.40;33800.00;240.00;8.26;338000.00;20250108
20230105;NMIV;LIMA;LIMA;CARABAYLLO;150106;Continental;Banco;295200.00;34000.00;300.00;10.22;340000.00;20250108
20230105;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;358530.00;63270.00;276.00;9.72;421800.00;20250108
20230105;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;257184.00;30376.00;240.00;8.82;303760.00;20250108
20230105;NMIV;LIMA;LIMA;LINCE;150116;Continental;Banco;295200.00;34000.00;300.00;10.22;340000.00;20250108
20230105;NMIV;LIMA;LIMA;JESUS MARIA;150113;Credito;Banco;244710.00;46043.00;144.00;8.70;306953.00;20250108
20230105;NMIV;LA LIBERTAD;TRUJILLO;TRUJILLO;130101;Credito;Banco;201960.00;54540.00;240.00;9.59;272700.00;20250108
20230105;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;197080.00;53320.00;240.00;9.05;266600.00;20250108
20230105;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Credito;Banco;361600.00;90400.00;240.00;8.74;452000.00;20250108
20230105;NMIV;LIMA;LIMA;SANTIAGO DE SURCO;150140;Credito;Banco;288883.39;33898.15;240.00;8.89;338981.54;20250108
20230105;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;287038.06;33693.12;240.00;8.09;336931.18;20250108
20230105;NMIV;LIMA;LIMA;MAGDALENA DEL MAR;150120;Credito;Banco;257536.80;30415.20;240.00;7.95;304152.00;20250108
20230105;NMIV;LIMA;LIMA;LA VICTORIA;150115;Credito;Banco;360000.00;100000.00;300.00;8.90;460000.00;20250108
20230105;NMIV;LIMA;LIMA;SANTIAGO DE SURCO;150140;Credito;Banco;171182.78;60000.00;120.00;9.89;247382.78;20250108
20230105;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;197284.73;25387.19;240.00;8.69;238871.92;20250108
20230105;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;167210.34;55461.58;240.00;8.99;238871.92;20250108
20230105;NMIV;LIMA;LIMA;SURQUILLO;150141;Credito;Banco;333499.20;58852.80;240.00;8.50;392352.00;20250108
20230105;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;268461.01;40000.00;240.00;8.29;324661.01;20250108
20230105;NMIV;LIMA;LIMA;SAN LUIS;150134;Credito;Banco;237608.00;91032.00;240.00;12.39;339440.00;20250108
20230105;NMIV;LIMA;LIMA;LA VICTORIA;150115;Scotiabank;Banco;176899.20;48274.80;240.00;7.90;241374.00;20250108
20230105;NMIV;LIMA;LIMA;BRENIA;150105;Scotiabank;Banco;259975.00;50000.00;300.00;9.10;320775.00;20250108
20230105;NMIV;LIMA;LIMA;LIMA;150101;Scotiabank;Banco;179200.00;60600.00;240.00;7.90;256000.00;20250108
20230105;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;153920.00;19880.00;240.00;9.00;198800.00;20250108
20230106;NMIV;LIMA;LIMA;SAN MIGUEL;150136;Interbank;Banco;158146.60;14411.30;240.00;9.72;192150.00;20250108
20230106;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;173430.00;19270.00;180.00;10.50;192700.00;20250108
