FECHA_DESEMBOLSO,PRODUCTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,FECHA_CORTE
20210107,NCMV,LIMA,LIMA,SANTIAGO DE SURCO,150140,INTERBANK,BANCO,248234.04,29246.86,240,7.30,292468.50,20230811
20210107,NCMV,PUNO,SAN ROMAN,JULIACA,211101,CMAC HUANCAYO,CMAC,65000.00,40000.00,120,13.99,125000.00,20230811
20210107,NCMV,LIMA,LIMA,CARABAYLLO,150106,CREDITO,BANCO,92500.00,12500.00,120,9.20,125000.00,20230811
20210107,NCMV,ANCASH,SANTA,CHIMBOTE,021801,CREDITO,BANCO,71280.00,30692.00,120,7.50,126972.00,20230811
20210107,NCMV,LIMA,LIMA,PUEBLO LIBRE,150121,CREDITO,BANCO,362880.00,40320.00,240,6.99,403200.00,20230811
20210107,NCMV,LIMA,LIMA,LINCE,150116,SCOTIABANK,BANCO,201731.00,40000.00,240,7.10,256731.00,20230811
20210107,NCMV,LAMBAYEQUE,CHICLAYO,CHICLAYO,140101,INTERBANK,BANCO,112181.54,20929.06,132,8.90,150000.00,20230811
20210107,NCMV,LIMA,LIMA,EL AGUSTINO,150111,INTERBANK,BANCO,145432.25,29775.00,240,8.00,198500.00,20230811
20210107,NCMV,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,140735.75,28946.25,240,8.30,192975.00,20230811
20210107,NCMV,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,127123.00,26546.00,168,8.20,176969.00,20230811
20210107,NCMV,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,90191.00,12799.00,120,8.20,127990.00,20230811
20210107,NCMV,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,71300.00,10700.00,240,8.20,107000.00,20230811
20210107,NCMV,LAMBAYEQUE,CHICLAYO,REQUE,140113,CREDITO,BANCO,129700.00,37000.00,180,9.60,185000.00,20230811
20210107,NCMV,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301,CREDITO,BANCO,171700.00,45425.00,240,10.00,227125.00,20230811
20210107,NCMV,LIMA,LIMA,LURIGANCHO,150118,BANBIF,BANCO,115912.00,11288.00,240,7.90,150500.00,20230811
20210107,NCMV,LIMA,LIMA,LURIGANCHO,150118,BANBIF,BANCO,115912.00,11288.00,240,7.70,150500.00,20230811
20210107,NCMV,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,86600.00,12400.00,240,8.10,124000.00,20230811
20210107,NCMV,LIMA,LIMA,LINCE,150116,SCOTIABANK,BANCO,331740.00,36860.00,180,7.10,368600.00,20230811
20210107,NCMV,CUSCO,CUSCO,SAN JERONIMO,080104,CMAC CUSCO,CMAC,181000.00,30000.00,240,12.15,221000.00,20230811
20210107,NCMV,LIMA,LIMA,CARABAYLLO,150106,CONTINENTAL,BANCO,90880.00,12320.00,240,10.40,123200.00,20230811
20210107,NCMV,JUNIN,HUANCAYO,HUANCAYO,120101,INTERBANK,BANCO,117600.00,32100.00,120,9.50,168000.00,20230811
20210107,NCMV,LIMA,LIMA,JESUS MARIA,150113,INTERBANK,BANCO,272803.60,31660.00,240,7.45,316600.00,20230811
20210108,NCMV,PIURA,SULLANA,SULLANA,200601,CMAC HUANCAYO,CMAC,79980.00,70200.00,240,10.82,168480.00,20230811
20210108,NCMV,PASCO,OXAPAMPA,OXAPAMPA,190301,CMAC HUANCAYO,CMAC,109700.00,18585.40,120,11.88,146585.40,20230811
20210108,NCMV,LAMBAYEQUE,CHICLAYO,MONSEFU,140108,CMAC HUANCAYO,CMAC,45903.00,61153.56,120,10.80,127056.56,20230811
20210108,NCMV,CAJAMARCA,JAEN,JAEN,060801,CMAC HUANCAYO,CMAC,78000.00,12000.00,240,9.99,110000.00,20230811
20210108,NCMV,JUNIN,HUANCAYO,HUANCAYO,120101,CMAC HUANCAYO,CMAC,116700.00,15000.00,240,9.99,150000.00,20230811
20210108,NCMV,JUNIN,CHANCHAMAYO,SAN RAMON,120305,CMAC HUANCAYO,CMAC,69000.00,35488.48,121,10.80,124488.48,20230811
20210108,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,39315.00,3050.00,240,15.99,79990.00,20230811
20210108,NCMV,AYACUCHO,HUANTA,HUANTA,050401,CMAC HUANCAYO,CMAC,80000.00,109000.00,120,10.80,207300.00,20230811
20210108,NCMV,TACNA,TACNA,TACNA,230101,CMAC HUANCAYO,CMAC,31000.00,25000.00,120,12.05,80000.00,20230811
20210108,NCMV,PIURA,SULLANA,SULLANA,200601,CMAC HUANCAYO,CMAC,51502.80,10029.60,60,11.09,85532.40,20230811
20210108,NCMV,PUNO,SAN ROMAN,JULIACA,211101,CMAC HUANCAYO,CMAC,92500.00,12500.00,120,12.99,125000.00,20230811
20210108,NCMV,PIURA,SULLANA,SULLANA,200601,CMAC HUANCAYO,CMAC,50100.00,10800.00,120,12.05,84900.00,20230811
20210108,NCMV,HUANCAVELICA,HUANCAVELICA,ASCENSION,090118,CMAC HUANCAYO,CMAC,30000.00,6000.00,60,11.75,60000.00,20230811
20210108,NCMV,PASCO,OXAPAMPA,CHONTABAMBA,190301,CMAC HUANCAYO,CMAC,95000.00,13295.00,140,11.80,128295.00,20230811
20210108,NCMV,JUNIN,HUANCAYO,CHILCA,120107,CMAC HUANCAYO,CMAC,22500.00,25500.00,72,12.05,72000.00,20230811
20210108,FCTP,ICA,ICA,LA TINGUINIA,110102,CMAC HUANCAYO,CMAC,39505.00,8570.00,120,13.99,85700.00,20230811
20210108,NCMV,PIURA,SULLANA,SULLANA,200601,CMAC HUANCAYO,CMAC,50592.00,10368.00,120,11.09,84960.00,20230811
20210108,NCMV,PIURA,SULLANA,SULLANA,200601,CMAC HUANCAYO,CMAC,50304.00,10800.00,120,11.09,85104.00,20230811
20210108,FCTP,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,CMAC HUANCAYO,CMAC,44875.00,3000.00,240,13.99,85500.00,20230811
20210108,NCMV,LA LIBERTAD,CHEPEN,CHEPEN,130401,CMAC HUANCAYO,CMAC,98700.00,53000.00,240,9.99,170000.00,20230811
20210108,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,38815.00,4550.00,180,13.99,80990.00,20230811
20210108,NCMV,TACNA,TACNA,TACNA,230101,CMAC HUANCAYO,CMAC,120000.00,161121.24,84,9.99,291121.24,20230811
20210108,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,39315.00,5050.00,180,13.99,81990.00,20230811
20210108,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,40365.00,3000.00,120,15.99,80990.00,20230811
20210108,FCTP,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,CMAC HUANCAYO,CMAC,35875.00,18000.00,60,13.99,91500.00,20230811
20210108,NCMV,LIMA,LIMA,SAN MIGUEL,150136,CREDITO,BANCO,149540.00,41960.00,240,9.20,209800.00,20230811
20210108,NCMV,LIMA,LIMA,SAN MIGUEL,150136,CREDITO,BANCO,234689.72,44062.89,240,8.70,293752.61,20230811
20210108,NCMV,PUNO,AZANGARO,AZANGARO,210201,CMAC CUSCO,CMAC,173400.00,21300.00,192,11.48,213000.00,20230811
20210111,NCMV,LAMBAYEQUE,CHICLAYO,LA VICTORIA,140106,BANCO PICHINCHA,BANCO,62359.50,11140.50,120,10.50,98500.00,20230811
20210111,NCMV,ANCASH,SANTA,CHIMBOTE,021801,BANCO PICHINCHA,BANCO,42150.00,7350.00,240,10.00,73500.00,20230811
20210111,NCMV,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,170418.50,21280.00,240,7.70,212800.00,20230811
20210111,FCTP,ICA,ICA,LA TINGUINIA,110102,INTERBANK,BANCO,42302.10,8410.00,120,12.00,84100.00,20230811
20210111,FCTP,ICA,ICA,LA TINGUINIA,110102,INTERBANK,BANCO,43302.15,4205.00,120,11.75,84100.00,20230811
20210111,NCMV,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,97307.00,30683.00,240,8.20,127990.00,20230811
20210111,NCMV,TACNA,TACNA,TACNA,230101,BANBIF,BANCO,97200.00,14500.00,240,7.00,135000.00,20230811
20210111,NCMV,ICA,ICA,SUBTANJALLA,110112,BANBIF,BANCO,131908.00,18792.00,180,9.00,174000.00,20230811
20210111,NCMV,LIMA,LIMA,LOS OLIVOS,150117,BANBIF,BANCO,234800.00,43200.00,240,8.90,288000.00,20230811
20210111,FCTP,LIMA,LIMA,CARABAYLLO,150106,CONTINENTAL,BANCO,51625.00,15750.00,120,13.00,105000.00,20230811
20210111,FCTP,LIMA,LIMA,CARABAYLLO,150106,CONTINENTAL,BANCO,56875.00,10500.00,180,13.00,105000.00,20230811
20210111,FCTP,LIMA,LIMA,CARABAYLLO,150106,CONTINENTAL,BANCO,51625.00,15750.00,180,13.00,105000.00,20230811
20210111,FCTP,LIMA,LIMA,CARABAYLLO,150106,CONTINENTAL,BANCO,56875.00,10500.00,180,13.00,105000.00,20230811
20210111,NCMV,ANCASH,SANTA,NUEVO CHIMBOTE,021809,BANCO PICHINCHA,BANCO,70000.00,10000.00,240,10.00,100000.00,20230811
20210111,NCMV,LIMA,LIMA,RIMAC,150128,INTERBANK,BANCO,124440.00,37260.00,240,9.50,180000.00,20230811
20210111,NCMV,JUNIN,HUANCAYO,EL TAMBO,120114,INTERBANK,BANCO,151700.00,20000.00,240,9.25,195000.00,20230811
20210111,NCMV,TACNA,TACNA,TACNA,230101,CMAC HUANCAYO,CMAC,92500.00,12500.00,120,12.05,125000.00,20230811
20210111,NCMV,MOQUEGUA,ILO,PACOCHA,180303,CMAC HUANCAYO,CMAC,128200.00,42000.00,240,9.99,188500.00,20230811
20210111,NCMV,TACNA,TACNA,TACNA,230101,CMAC HUANCAYO,CMAC,19900.00,40200.00,60,12.05,84100.00,20230811
20210111,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,41865.00,2500.00,120,13.99,81990.00,20230811
20210111,NCMV,CAJAMARCA,JAEN,JAEN,060801,CMAC HUANCAYO,CMAC,88000.00,12000.00,240,10.80,120000.00,20230811
20210111,FCTP,ICA,ICA,SUBTANJALLA,110112,CMAC HUANCAYO,CMAC,39365.00,3000.00,240,13.99,79990.00,20230811
20210111,NCMV,TACNA,TACNA,TACNA,230101,CMAC HUANCAYO,CMAC,19000.00,51000.00,60,12.05,90000.00,20230811
